Feature,lightgbm,logistic_regression,random_forest,xgboost
advance_booking_days,319.0,0.34064974004783755,0.055354944746955737,0.04284520819783211
age,478.0,0.1729360188452159,0.06407622400077999,0.05761495605111122
booking_day_of_week,492.0,0.025877830414831833,0.04396009949075441,0.04140442609786987
booking_month,331.0,0.22362001368720252,0.04078888299072987,0.04148918017745018
booking_quarter,372.0,0.2557144309735752,0.043162955302311276,0.052221886813640594
days_to_departure,304.0,0.06459695204389071,0.056821597302471036,0.05679597333073616
departure_day_of_week,430.0,0.028899436515183365,0.046119937756663246,0.049937307834625244
departure_quarter,348.0,0.20174912562972827,0.04046426363808073,0.035797372460365295
flight_duration,466.0,0.0005641284532309395,0.04814466543072473,0.04532347619533539
hours_to_departure,324.0,0.009506214344186687,0.05735084876675907,0.064476378262043
is_friday_evening,497.0,0.059598894804465695,0.04061063085731594,0.04169182851910591
is_holiday_season,409.0,0.3839707801487263,0.048722412028050735,0.054379768669605255
is_last_minute,458.0,0.13018857354794586,0.043343360516965704,0.04672546312212944
is_major_holiday,475.0,0.2402285405793027,0.044675027580212676,0.0481942780315876
is_summer_peak,455.0,0.2882813256952063,0.046863259093091164,0.045608799904584885
is_summer_travel,499.0,0.03687449928786319,0.041387728046911945,0.038067568093538284
is_thanksgiving_week,570.0,0.03060270255758576,0.04372855590344399,0.042134348303079605
is_weekend_departure,502.0,0.011546895870968889,0.03985738904899614,0.04483846202492714
is_winter_travel,448.0,0.06887348152121331,0.046450648565424184,0.046822745352983475
ticket_price,427.0,0.16278577051860288,0.0650911256351052,0.05255553498864174
